category,price,currency,price_1m2,title,address,floor,area,title_deed,repair,mortgage,url,room_number
Yeni tikili,310 000,AZN,2 400 AZN/m²,"Satılır 3 otaqlı yeni tikili 129 m², Nizami m.",Sübhi Salayev küçəsi 37,10 / 17,129 m²,var,var,var,https://bina.az/items/3836189,3.0
Yeni tikili,110 000,AZN,2 160 AZN/m²,"Satılır 1 otaqlı yeni tikili 51 m², Elmlər Akademiyası m.",İ.Zülalov küç.,8 / 16,51 m²,yoxdur,var,,https://bina.az/items/3764821,1.0
Köhnə tikili,251 000,AZN,2 390 AZN/m²,"Satılır 3 otaqlı köhnə tikili 105 m², Elmlər Akademiyası m.",B.Vahabzadə küçəsi 123,2 / 4,105 m²,var,var,,https://bina.az/items/3836178,3.0
Yeni tikili,430 000,AZN,1 720 AZN/m²,"Satılır 5 otaqlı yeni tikili 250 m², Əhmədli m.",N.Tusi küç,12 / 13,250 m²,var,var,var,https://bina.az/items/3836168,5.0
Yeni tikili,120 000,AZN,2 220 AZN/m²,"Satılır 2 otaqlı yeni tikili 54 m², Nəriman Nərimanov m.",Qarabağ küç 22,15 / 17,54 m²,yoxdur,yoxdur,,https://bina.az/items/3836156,2.0
Yeni tikili,185 000,AZN,3 300 AZN/m²,"Satılır 2 otaqlı yeni tikili 56 m², Gənclik m.",Həsən Əliyev küç. 44,9 / 12,56 m²,var,var,,https://bina.az/items/3836159,2.0
Yeni tikili,690 000,AZN,2 560 AZN/m²,"Satılır 6 otaqlı yeni tikili 270 m², Nəsimi r.",Xan Şuşinski küş,15 / 16,270 m²,var,var,,https://bina.az/items/3761649,6.0
Yeni tikili,510 000,AZN,1 750 AZN/m²,"Satılır 3 otaqlı yeni tikili 292 m², 28 May m.",Şamil Əzizbəyov küç 45,3 / 16,292 m²,var,var,var,https://bina.az/items/3836135,3.0
Yeni tikili,510 000,AZN,2 550 AZN/m²,"Satılır 4 otaqlı yeni tikili 200 m², 28 May m.",Dilarə Əliyeva 234,7 / 14,200 m²,var,var,,https://bina.az/items/3836115,4.0
Yeni tikili,76 000,AZN,923 AZN/m²,"Satılır 3 otaqlı yeni tikili 82.3 m², Bakıxanov q.",Yavər Əliyev küç.1,19 / 20,82.3 m²,yoxdur,var,,https://bina.az/items/3836097,3.0
Yeni tikili,147 000,AZN,1 930 AZN/m²,"Satılır 2 otaqlı yeni tikili 76 m², Binəqədi r.",Geniral Həzi Aslanov küç.,3 / 19,76 m²,yoxdur,var,,https://bina.az/items/3836092,2.0
Yeni tikili,132 000,AZN,2 640 AZN/m²,"Satılır 2 otaqlı yeni tikili 50 m², Qara Qarayev m.",Özbəkistan küç 9,10 / 17,50 m²,var,var,,https://bina.az/items/3829222,2.0
Yeni tikili,55 000,AZN,1 340 AZN/m²,"Satılır 1 otaqlı yeni tikili 41 m², Masazır q.","Masazır qəsəbəsi,Yeni Bakı yaşayış kompleksi,bina 5",6 / 7,41 m²,var,var,,https://bina.az/items/3836040,1.0
Köhnə tikili,130 000,AZN,1 730 AZN/m²,"Satılır 3 otaqlı köhnə tikili 75 m², Həzi Aslanov q.",Ramiz Quliyev  küç. 45,4 / 5,75 m²,var,var,,https://bina.az/items/3836044,3.0
Köhnə tikili,77 000,AZN,1 540 AZN/m²,"Satılır 2 otaqlı köhnə tikili 50 m², Hövsan q.",Oktay Şabanov küçəsi,6 / 9,50 m²,var,var,,https://bina.az/items/3759202,2.0
Yeni tikili,155 000,AZN,1 800 AZN/m²,"Satılır 2 otaqlı yeni tikili 86 m², Həzi Aslanov m.",General Şıxlinski Küçəsi,7 / 17,86 m²,var,var,var,https://bina.az/items/3470460,2.0
Yeni tikili,325 000,AZN,2 170 AZN/m²,"Satılır 3 otaqlı yeni tikili 150 m², İnşaatçılar m.","K.Kazımzadə 123,",12 / 16,150 m²,var,var,,https://bina.az/items/3836034,3.0
Yeni tikili,230 000,AZN,1 810 AZN/m²,"Satılır 3 otaqlı yeni tikili 127 m², Nəsimi m.",Mircelal küçəsi,4 / 18,127 m²,var,var,,https://bina.az/items/3836033,3.0
Yeni tikili,400 000,AZN,3 080 AZN/m²,"Satılır 3 otaqlı yeni tikili 130 m², Şah İsmayıl Xətai m.",Xəqani Rüstəmov 99,7 / 7,130 m²,var,var,,https://bina.az/items/3175205,3.0
Köhnə tikili,245 000,AZN,2 450 AZN/m²,"Satılır 3 otaqlı köhnə tikili 100 m², Səbail r.","Xaqani küç. 26, mən. 86",5 / 10,100 m²,var,,,https://bina.az/items/3835968,3.0
Yeni tikili,110 000,AZN,2 000 AZN/m²,"Satılır 2 otaqlı yeni tikili 55 m², İnşaatçılar m.",Kənar dairəvi yol 38,11 / 22,55 m²,var,,,https://bina.az/items/3835987,2.0
Yeni tikili,950 000,AZN,3 410 AZN/m²,"Satılır 5 otaqlı yeni tikili 279 m², Şah İsmayıl Xətai m.",Afiyəddin Cəlilov 27A,13 / 18,279 m²,var,var,,https://bina.az/items/3333685,5.0
Yeni tikili,260 000,AZN,2 850 AZN/m²,"Satılır 3 otaqlı yeni tikili 91.2 m², Nizami m.","Ağadadaş Qurbanov küçəsi, 52-58",12 / 16,91.2 m²,yoxdur,var,,https://bina.az/items/3835917,3.0
Yeni tikili,160 000,AZN,1 300 AZN/m²,"Satılır 3 otaqlı yeni tikili 123 m², Köhnə Günəşli q.",Əliağa Şıxlinski 37K,1 / 6,123 m²,var,var,var,https://bina.az/items/3739066,3.0
Yeni tikili,140 000,AZN,3 040 AZN/m²,"Satılır 1 otaqlı yeni tikili 46 m², Nizami m.",Füzuli 43,3 / 14,46 m²,yoxdur,yoxdur,,https://bina.az/items/3835981,1.0
Yeni tikili,204 500,AZN,2 110 AZN/m²,"Satılır 3 otaqlı yeni tikili 97 m², Nəsimi r.",İnqilab küç 15,5 / 17,97 m²,var,yoxdur,var,https://bina.az/items/3835989,3.0
Köhnə tikili,135 000,AZN,1 800 AZN/m²,"Satılır 3 otaqlı köhnə tikili 75 m², Yeni Günəşli q.","Y.Günəşli qəs., D-massivi",6 / 10,75 m²,var,var,,https://bina.az/items/3835957,3.0
Yeni tikili,350 000,AZN,2 020 AZN/m²,"Satılır 4 otaqlı yeni tikili 173 m², 28 May m.",Kövkəb Səfərəliyeva - 100,5 / 17,173 m²,var,,,https://bina.az/items/2515093,4.0
Yeni tikili,550 000,AZN,4 140 AZN/m²,"Satılır 3 otaqlı yeni tikili 133 m², Yasamal r.",İ.Qutqaşınlı küçəsi,10 / 14,133 m²,yoxdur,var,,https://bina.az/items/3069899,3.0
Köhnə tikili,140 000,AZN,2 800 AZN/m²,"Satılır 2 otaqlı köhnə tikili 50 m², Nəriman Nərimanov m.",F. Yusifov küçəsi,4 / 5,50 m²,var,var,,https://bina.az/items/3835953,2.0
Yeni tikili,460 000,AZN,1 640 AZN/m²,"Satılır 4 otaqlı yeni tikili 280 m², Nəsimi r.",Möhsün Sənani,8 / 20,280 m²,var,var,,https://bina.az/items/3835942,4.0
Yeni tikili,225 000,AZN,3 000 AZN/m²,"Satılır 3 otaqlı yeni tikili 75 m², Nərimanov r.",Mayakovski  küçəsi,7 / 17,75 m²,var,var,,https://bina.az/items/3835937,3.0
Köhnə tikili,89 000,AZN,1 370 AZN/m²,"Satılır 2 otaqlı köhnə tikili 65 m², Yeni Günəşli q.",Yeni Güneşli D yaşayış massivi,4 / 9,65 m²,var,var,var,https://bina.az/items/3751535,2.0
Yeni tikili,168 000,AZN,2 210 AZN/m²,"Satılır 3 otaqlı yeni tikili 76 m², İnşaatçılar m.",Müstəqillik küçəsi. 7,9 / 9,76 m²,var,var,,https://bina.az/items/3835926,3.0
Köhnə tikili,142 000,AZN,1 420 AZN/m²,"Satılır 4 otaqlı köhnə tikili 100 m², Bakıxanov q.",Bakixanov Ruhulla Axundov küçəsi,5 / 5,100 m²,var,var,,https://bina.az/items/3835910,4.0
Köhnə tikili,234 000,AZN,4 180 AZN/m²,"Satılır 3 otaqlı köhnə tikili 56 m², Nəriman Nərimanov m.",Y.V.Çəmənzəmənli küçəsi,1 / 6,56 m²,var,var,,https://bina.az/items/3835904,3.0
Köhnə tikili,295 000,AZN,2 570 AZN/m²,"Satılır 4 otaqlı köhnə tikili 115 m², 28 May m.",Süleyman Rüstəm 92,3 / 5,115 m²,var,var,,https://bina.az/items/3532191,4.0
Yeni tikili,355 000,AZN,2 410 AZN/m²,"Satılır 3 otaqlı yeni tikili 147 m², 28 May m.",Kövkəb Səfərəliyeva küç 12,10 / 16,147 m²,var,yoxdur,,https://bina.az/items/3835898,3.0
Yeni tikili,368 000,AZN,2 590 AZN/m²,"Satılır 3 otaqlı yeni tikili 142 m², Gənclik m.",Aşıq Alı küç.,12 / 17,142 m²,var,var,,https://bina.az/items/3835888,3.0
Yeni tikili,599 000,AZN,3 030 AZN/m²,"Satılır 4 otaqlı yeni tikili 198 m², Şah İsmayıl Xətai m.",Nobel pr.,16 / 18,198 m²,var,var,var,https://bina.az/items/3693572,4.0
Yeni tikili,97 000,AZN,970 AZN/m²,"Satılır 4 otaqlı yeni tikili 100 m², Hövsan q.",Xudafərin küçəsi,4 / 9,100 m²,var,var,,https://bina.az/items/3835866,4.0
Yeni tikili,147 000,AZN,2 300 AZN/m²,"Satılır 2 otaqlı yeni tikili 64 m², Şah İsmayıl Xətai m.",Həsən Salmani küç,2 / 17,64 m²,var,var,,https://bina.az/items/3758219,2.0
Köhnə tikili,106 000,AZN,2 360 AZN/m²,"Satılır 1 otaqlı köhnə tikili 45 m², Azadlıq Prospekti m.",8 MKR Azadlıq pr 31,5 / 9,45 m²,var,var,var,https://bina.az/items/3835858,1.0
Yeni tikili,430 000,AZN,2 610 AZN/m²,"Satılır 4 otaqlı yeni tikili 165 m², Elmlər Akademiyası m.",Z. Xelilov küçəsi,8 / 10,165 m²,var,var,var,https://bina.az/items/3749951,4.0
Yeni tikili,300 000,AZN,2 400 AZN/m²,"Satılır 3 otaqlı yeni tikili 125 m², Əhmədli q.",Babək prospekti 2345,2 / 16,125 m²,var,var,,https://bina.az/items/3833505,3.0
Köhnə tikili,220 000,AZN,1 960 AZN/m²,"Satılır 4 otaqlı köhnə tikili 112 m², Yasamal r.",S.Mehdiyev küç. 90,1 / 9,112 m²,var,,,https://bina.az/items/2524694,4.0
Yeni tikili,225 000,AZN,1 800 AZN/m²,"Satılır 3 otaqlı yeni tikili 125 m², Yeni Yasamal q.","Əsəd Əhmədov 31E, mənzil 173",7 / 12,125 m²,var,var,var,https://bina.az/items/3744145,3.0
Köhnə tikili,205 000,AZN,1 640 AZN/m²,"Satılır 3 otaqlı köhnə tikili 125 m², Nəsimi r.",S.Rüstəm küç.,1 / 4,125 m²,var,var,,https://bina.az/items/3835844,3.0
Yeni tikili,125 000,AZN,1 890 AZN/m²,"Satılır 2 otaqlı yeni tikili 66 m², 8 Noyabr m.",53 Əbdülvahab Salamzadə küçəsi,4 / 16,66 m²,var,var,var,https://bina.az/items/3835822,2.0
Köhnə tikili,189 000,AZN,2 220 AZN/m²,"Satılır 3 otaqlı köhnə tikili 85 m², 8-ci mikrorayon q.",Səttar Bəhlulzadə küç. 24,9 / 10,85 m²,var,var,var,https://bina.az/items/3835843,3.0
Yeni tikili,162 000,AZN,1 800 AZN/m²,"Satılır 2 otaqlı yeni tikili 90 m², Yasamal r.",Moskva pr.8,7 / 19,90 m²,var,var,,https://bina.az/items/3835833,2.0
Yeni tikili,249 000,AZN,2 570 AZN/m²,"Satılır 2 otaqlı yeni tikili 97 m², 28 May m.",Fizuli küçəsi 84,15 / 16,97 m²,yoxdur,yoxdur,,https://bina.az/items/3835827,2.0
Köhnə tikili,159 000,AZN,2 790 AZN/m²,"Satılır 2 otaqlı köhnə tikili 57 m², Elmlər Akademiyası m.","Zahid Xəlilov küç, 85",2 / 5,57 m²,var,var,,https://bina.az/items/3753268,2.0
Köhnə tikili,128 000,AZN,2 720 AZN/m²,"Satılır 2 otaqlı köhnə tikili 47 m², Nəsimi r.","Izmir küç,7",5 / 5,47 m²,var,var,,https://bina.az/items/3763366,2.0
Yeni tikili,1 100 000,AZN,4 490 AZN/m²,"Satılır 4 otaqlı yeni tikili 245 m², Sahil m.",улице Низами,11 / 16,245 m²,var,var,var,https://bina.az/items/3835818,4.0
Yeni tikili,230 000,AZN,2 530 AZN/m²,"Satılır 2 otaqlı yeni tikili 91 m², Nəsimi r.",Mirqasimov küçəsi 36,5 / 17,91 m²,var,var,,https://bina.az/items/3835812,2.0
